Area,Delay,Score,Current Run,Episode,Verilog
186.2,743.67,0.1,39,0,"//Design a 16-bit adder.
//There are two 16 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 16 bit value, [15:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_16(output [15:0] sum,
                      output cout,
                      input [15:0] in1, in2,
                      input cin);
  wire c1, c2, c3, c4, c5, c6, c7, c8, c9, c10, c11, c12, c13, c14, c15;
  wire [15:0] sum1, sum2, sum3, sum4, sum5, sum6, sum7, sum8, sum9, sum10, sum11, sum12, sum13, sum14, sum15;
  full_adder FA1(sum1[0], c1, in1[0], in2[0], cin);
  full_adder FA2(sum1[1], c2, in1[1], in2[1], c1);
  full_adder FA3(sum1[2], c3, in1[2], in2[2], c2);
  full_adder FA4(sum1[3], c4, in1[3], in2[3], c3);
  full_adder FA5(sum1[4], c5, in1[4], in2[4], c4);
  full_adder FA6(sum1[5], c6, in1[5], in2[5], c5);
  full_adder FA7(sum1[6], c7, in1[6], in2[6], c6);
  full_adder FA8(sum1[7], c8, in1[7], in2[7], c7);
  full_adder FA9(sum1[8], c9, in1[8], in2[8], c8);
  full_adder FA10(sum1[9], c10, in1[9], in2[9], c9);
  full_adder FA11(sum1[10], c11, in1[10], in2[10], c10);
  full_adder FA12(sum1[11], c12, in1[11], in2[11], c11);
  full_adder FA13(sum1[12], c13, in1[12], in2[12], c12);
  full_adder FA14(sum1[13], c14, in1[13], in2[13], c13);
  full_adder FA15(sum1[14], c15, in1[14], in2[14], c14);
  full_adder FA16(sum1[15], cout, in1[15], in2[15], c15);
  assign sum = sum1;
endmodule

module full_adder(output wire sum,
                  output wire cout,
                  input wire in1,
                  input wire in2,
                  input wire cin);
  wire temp1;
  wire temp2;
  wire temp3;
  xor(sum, in1, in2, cin);
  and(temp1,in1,in2);
  and(temp2,in1,cin);
  and(temp3,in2,cin);
  or(cout,temp1,temp2,temp3);
endmodule"
186.2,743.67,0.1,40,0,"//Design a 16-bit adder.
//There are two 16 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 16 bit value, [15:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_16(output [15:0] sum,
                      output cout,
                      input [15:0] in1, in2,
                      input cin);
  wire c1, c2, c3, c4, c5, c6, c7, c8, c9, c10, c11, c12, c13, c14, c15;
  wire [15:0] sum1, sum2, sum3, sum4, sum5, sum6, sum7, sum8, sum9, sum10, sum11, sum12, sum13, sum14, sum15;
  full_adder FA1(sum1[0], c1, in1[0], in2[0], cin);
  full_adder FA2(sum1[1], c2, in1[1], in2[1], c1);
  full_adder FA3(sum1[2], c3, in1[2], in2[2], c2);
  full_adder FA4(sum1[3], c4, in1[3], in2[3], c3);
  full_adder FA5(sum1[4], c5, in1[4], in2[4], c4);
  full_adder FA6(sum1[5], c6, in1[5], in2[5], c5);
  full_adder FA7(sum1[6], c7, in1[6], in2[6], c6);
  full_adder FA8(sum1[7], c8, in1[7], in2[7], c7);
  full_adder FA9(sum1[8], c9, in1[8], in2[8], c8);
  full_adder FA10(sum1[9], c10, in1[9], in2[9], c9);
  full_adder FA11(sum1[10], c11, in1[10], in2[10], c10);
  full_adder FA12(sum1[11], c12, in1[11], in2[11], c11);
  full_adder FA13(sum1[12], c13, in1[12], in2[12], c12);
  full_adder FA14(sum1[13], c14, in1[13], in2[13], c13);
  full_adder FA15(sum1[14], c15, in1[14], in2[14], c14);
  full_adder FA16(sum1[15], cout, in1[15], in2[15], c15);
  assign sum = sum1;
endmodule

module full_adder(output wire sum,
                  output wire cout,
                  input wire in1,
                  input wire in2,
                  input wire cin);
  wire temp1;
  wire temp2;
  wire temp3;
  xor(sum, in1, in2, cin);
  and(temp1,in1,in2);
  and(temp2,in1,cin);
  and(temp3,in2,cin);
  or(cout,temp1,temp2,temp3);
endmodule"
186.2,743.67,0.1,41,0,"//Design a 16-bit adder.
//There are two 16 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 16 bit value, [15:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_16(output [15:0] sum,
                      output cout,
                      input [15:0] in1, in2,
                      input cin);
  wire c1, c2, c3, c4, c5, c6, c7, c8, c9, c10, c11, c12, c13, c14, c15;
  wire [15:0] sum1, sum2, sum3, sum4, sum5, sum6, sum7, sum8, sum9, sum10, sum11, sum12, sum13, sum14, sum15;
  full_adder FA1(sum1[0], c1, in1[0], in2[0], cin);
  full_adder FA2(sum1[1], c2, in1[1], in2[1], c1);
  full_adder FA3(sum1[2], c3, in1[2], in2[2], c2);
  full_adder FA4(sum1[3], c4, in1[3], in2[3], c3);
  full_adder FA5(sum1[4], c5, in1[4], in2[4], c4);
  full_adder FA6(sum1[5], c6, in1[5], in2[5], c5);
  full_adder FA7(sum1[6], c7, in1[6], in2[6], c6);
  full_adder FA8(sum1[7], c8, in1[7], in2[7], c7);
  full_adder FA9(sum1[8], c9, in1[8], in2[8], c8);
  full_adder FA10(sum1[9], c10, in1[9], in2[9], c9);
  full_adder FA11(sum1[10], c11, in1[10], in2[10], c10);
  full_adder FA12(sum1[11], c12, in1[11], in2[11], c11);
  full_adder FA13(sum1[12], c13, in1[12], in2[12], c12);
  full_adder FA14(sum1[13], c14, in1[13], in2[13], c13);
  full_adder FA15(sum1[14], c15, in1[14], in2[14], c14);
  full_adder FA16(sum1[15], cout, in1[15], in2[15], c15);
  assign sum = sum1;
endmodule

module full_adder(output wire sum,
                  output wire cout,
                  input wire in1,
                  input wire in2,
                  input wire cin);
  wire temp1;
  wire temp2;
  wire temp3;
  xor(sum, in1, in2, cin);
  and(temp1,in1,in2);
  and(temp2,in1,cin);
  and(temp3,in2,cin);
  or(cout,temp1,temp2,temp3);
endmodule"
186.2,743.67,0.1,42,0,"//Design a 16-bit adder.
//There are two 16 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 16 bit value, [15:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_16(output [15:0] sum,
                      output cout,
                      input [15:0] in1, in2,
                      input cin);
  wire c1, c2, c3, c4, c5, c6, c7, c8, c9, c10, c11, c12, c13, c14, c15;
  wire [15:0] sum1, sum2, sum3, sum4, sum5, sum6, sum7, sum8, sum9, sum10, sum11, sum12, sum13, sum14, sum15;
  full_adder FA1(sum1[0], c1, in1[0], in2[0], cin);
  full_adder FA2(sum1[1], c2, in1[1], in2[1], c1);
  full_adder FA3(sum1[2], c3, in1[2], in2[2], c2);
  full_adder FA4(sum1[3], c4, in1[3], in2[3], c3);
  full_adder FA5(sum1[4], c5, in1[4], in2[4], c4);
  full_adder FA6(sum1[5], c6, in1[5], in2[5], c5);
  full_adder FA7(sum1[6], c7, in1[6], in2[6], c6);
  full_adder FA8(sum1[7], c8, in1[7], in2[7], c7);
  full_adder FA9(sum1[8], c9, in1[8], in2[8], c8);
  full_adder FA10(sum1[9], c10, in1[9], in2[9], c9);
  full_adder FA11(sum1[10], c11, in1[10], in2[10], c10);
  full_adder FA12(sum1[11], c12, in1[11], in2[11], c11);
  full_adder FA13(sum1[12], c13, in1[12], in2[12], c12);
  full_adder FA14(sum1[13], c14, in1[13], in2[13], c13);
  full_adder FA15(sum1[14], c15, in1[14], in2[14], c14);
  full_adder FA16(sum1[15], cout, in1[15], in2[15], c15);
  assign sum = sum1;
endmodule

module full_adder(output wire sum,
                  output wire cout,
                  input wire in1,
                  input wire in2,
                  input wire cin);
  wire temp1;
  wire temp2;
  wire temp3;
  xor(sum, in1, in2, cin);
  and(temp1,in1,in2);
  and(temp2,in1,cin);
  and(temp3,in2,cin);
  or(cout,temp1,temp2,temp3);
endmodule"
186.2,743.67,0.1,43,0,"//Design a 16-bit adder.
//There are two 16 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 16 bit value, [15:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_16(output [15:0] sum,
                      output cout,
                      input [15:0] in1, in2,
                      input cin);
  wire c1, c2, c3, c4, c5, c6, c7, c8, c9, c10, c11, c12, c13, c14, c15;
  wire [15:0] sum1, sum2, sum3, sum4, sum5, sum6, sum7, sum8, sum9, sum10, sum11, sum12, sum13, sum14, sum15;
  full_adder FA1(sum1[0], c1, in1[0], in2[0], cin);
  full_adder FA2(sum1[1], c2, in1[1], in2[1], c1);
  full_adder FA3(sum1[2], c3, in1[2], in2[2], c2);
  full_adder FA4(sum1[3], c4, in1[3], in2[3], c3);
  full_adder FA5(sum1[4], c5, in1[4], in2[4], c4);
  full_adder FA6(sum1[5], c6, in1[5], in2[5], c5);
  full_adder FA7(sum1[6], c7, in1[6], in2[6], c6);
  full_adder FA8(sum1[7], c8, in1[7], in2[7], c7);
  full_adder FA9(sum1[8], c9, in1[8], in2[8], c8);
  full_adder FA10(sum1[9], c10, in1[9], in2[9], c9);
  full_adder FA11(sum1[10], c11, in1[10], in2[10], c10);
  full_adder FA12(sum1[11], c12, in1[11], in2[11], c11);
  full_adder FA13(sum1[12], c13, in1[12], in2[12], c12);
  full_adder FA14(sum1[13], c14, in1[13], in2[13], c13);
  full_adder FA15(sum1[14], c15, in1[14], in2[14], c14);
  full_adder FA16(sum1[15], cout, in1[15], in2[15], c15);
  assign sum = sum1;
endmodule

module full_adder(output wire sum,
                  output wire cout,
                  input wire in1,
                  input wire in2,
                  input wire cin);
  wire temp1;
  wire temp2;
  wire temp3;
  xor(sum, in1, in2, cin);
  and(temp1,in1,in2);
  and(temp2,in1,cin);
  and(temp3,in2,cin);
  or(cout,temp1,temp2,temp3);
endmodule"
186.2,743.67,0.1,44,0,"//Design a 16-bit adder.
//There are two 16 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 16 bit value, [15:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_16(output [15:0] sum,
                      output cout,
                      input [15:0] in1, in2,
                      input cin);
  wire c1, c2, c3, c4, c5, c6, c7, c8, c9, c10, c11, c12, c13, c14, c15;
  wire [15:0] sum1, sum2, sum3, sum4, sum5, sum6, sum7, sum8, sum9, sum10, sum11, sum12, sum13, sum14, sum15;
  full_adder FA1(sum1[0], c1, in1[0], in2[0], cin);
  full_adder FA2(sum1[1], c2, in1[1], in2[1], c1);
  full_adder FA3(sum1[2], c3, in1[2], in2[2], c2);
  full_adder FA4(sum1[3], c4, in1[3], in2[3], c3);
  full_adder FA5(sum1[4], c5, in1[4], in2[4], c4);
  full_adder FA6(sum1[5], c6, in1[5], in2[5], c5);
  full_adder FA7(sum1[6], c7, in1[6], in2[6], c6);
  full_adder FA8(sum1[7], c8, in1[7], in2[7], c7);
  full_adder FA9(sum1[8], c9, in1[8], in2[8], c8);
  full_adder FA10(sum1[9], c10, in1[9], in2[9], c9);
  full_adder FA11(sum1[10], c11, in1[10], in2[10], c10);
  full_adder FA12(sum1[11], c12, in1[11], in2[11], c11);
  full_adder FA13(sum1[12], c13, in1[12], in2[12], c12);
  full_adder FA14(sum1[13], c14, in1[13], in2[13], c13);
  full_adder FA15(sum1[14], c15, in1[14], in2[14], c14);
  full_adder FA16(sum1[15], cout, in1[15], in2[15], c15);
  assign sum = sum1;
endmodule

module full_adder(output wire sum,
                  output wire cout,
                  input wire in1,
                  input wire in2,
                  input wire cin);
  wire temp1;
  wire temp2;
  wire temp3;
  xor(sum, in1, in2, cin);
  and(temp1,in1,in2);
  and(temp2,in1,cin);
  and(temp3,in2,cin);
  or(cout,temp1,temp2,temp3);
endmodule"
186.2,743.67,0.1,45,0,"//Design a 16-bit adder.
//There are two 16 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 16 bit value, [15:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_16(output [15:0] sum,
                      output cout,
                      input [15:0] in1, in2,
                      input cin);
  wire c1, c2, c3, c4, c5, c6, c7, c8, c9, c10, c11, c12, c13, c14, c15;
  wire [15:0] sum1, sum2, sum3, sum4, sum5, sum6, sum7, sum8, sum9, sum10, sum11, sum12, sum13, sum14, sum15;
  full_adder FA1(sum1[0], c1, in1[0], in2[0], cin);
  full_adder FA2(sum1[1], c2, in1[1], in2[1], c1);
  full_adder FA3(sum1[2], c3, in1[2], in2[2], c2);
  full_adder FA4(sum1[3], c4, in1[3], in2[3], c3);
  full_adder FA5(sum1[4], c5, in1[4], in2[4], c4);
  full_adder FA6(sum1[5], c6, in1[5], in2[5], c5);
  full_adder FA7(sum1[6], c7, in1[6], in2[6], c6);
  full_adder FA8(sum1[7], c8, in1[7], in2[7], c7);
  full_adder FA9(sum1[8], c9, in1[8], in2[8], c8);
  full_adder FA10(sum1[9], c10, in1[9], in2[9], c9);
  full_adder FA11(sum1[10], c11, in1[10], in2[10], c10);
  full_adder FA12(sum1[11], c12, in1[11], in2[11], c11);
  full_adder FA13(sum1[12], c13, in1[12], in2[12], c12);
  full_adder FA14(sum1[13], c14, in1[13], in2[13], c13);
  full_adder FA15(sum1[14], c15, in1[14], in2[14], c14);
  full_adder FA16(sum1[15], cout, in1[15], in2[15], c15);
  assign sum = sum1;
endmodule

module full_adder(output wire sum,
                  output wire cout,
                  input wire in1,
                  input wire in2,
                  input wire cin);
  wire temp1;
  wire temp2;
  wire temp3;
  xor(sum, in1, in2, cin);
  and(temp1,in1,in2);
  and(temp2,in1,cin);
  and(temp3,in2,cin);
  or(cout,temp1,temp2,temp3);
endmodule"
186.2,743.67,0.1,46,0,"//Design a 16-bit adder.
//There are two 16 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 16 bit value, [15:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_16(output [15:0] sum,
                      output cout,
                      input [15:0] in1, in2,
                      input cin);
  wire c1, c2, c3, c4, c5, c6, c7, c8, c9, c10, c11, c12, c13, c14, c15;
  wire [15:0] sum1, sum2, sum3, sum4, sum5, sum6, sum7, sum8, sum9, sum10, sum11, sum12, sum13, sum14, sum15;
  full_adder FA1(sum1[0], c1, in1[0], in2[0], cin);
  full_adder FA2(sum1[1], c2, in1[1], in2[1], c1);
  full_adder FA3(sum1[2], c3, in1[2], in2[2], c2);
  full_adder FA4(sum1[3], c4, in1[3], in2[3], c3);
  full_adder FA5(sum1[4], c5, in1[4], in2[4], c4);
  full_adder FA6(sum1[5], c6, in1[5], in2[5], c5);
  full_adder FA7(sum1[6], c7, in1[6], in2[6], c6);
  full_adder FA8(sum1[7], c8, in1[7], in2[7], c7);
  full_adder FA9(sum1[8], c9, in1[8], in2[8], c8);
  full_adder FA10(sum1[9], c10, in1[9], in2[9], c9);
  full_adder FA11(sum1[10], c11, in1[10], in2[10], c10);
  full_adder FA12(sum1[11], c12, in1[11], in2[11], c11);
  full_adder FA13(sum1[12], c13, in1[12], in2[12], c12);
  full_adder FA14(sum1[13], c14, in1[13], in2[13], c13);
  full_adder FA15(sum1[14], c15, in1[14], in2[14], c14);
  full_adder FA16(sum1[15], cout, in1[15], in2[15], c15);
  assign sum = sum1;
endmodule

module full_adder(output wire sum,
                  output wire cout,
                  input wire in1,
                  input wire in2,
                  input wire cin);
  wire temp1;
  wire temp2;
  wire temp3;
  xor(sum, in1, in2, cin);
  and(temp1,in1,in2);
  and(temp2,in1,cin);
  and(temp3,in2,cin);
  or(cout,temp1,temp2,temp3);
endmodule"
186.2,743.67,0.1,47,0,"//Design a 16-bit adder.
//There are two 16 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 16 bit value, [15:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_16(output [15:0] sum,
                      output cout,
                      input [15:0] in1, in2,
                      input cin);
  wire c1, c2, c3, c4, c5, c6, c7, c8, c9, c10, c11, c12, c13, c14, c15;
  wire [15:0] sum1, sum2, sum3, sum4, sum5, sum6, sum7, sum8, sum9, sum10, sum11, sum12, sum13, sum14, sum15;
  full_adder FA1(sum1[0], c1, in1[0], in2[0], cin);
  full_adder FA2(sum1[1], c2, in1[1], in2[1], c1);
  full_adder FA3(sum1[2], c3, in1[2], in2[2], c2);
  full_adder FA4(sum1[3], c4, in1[3], in2[3], c3);
  full_adder FA5(sum1[4], c5, in1[4], in2[4], c4);
  full_adder FA6(sum1[5], c6, in1[5], in2[5], c5);
  full_adder FA7(sum1[6], c7, in1[6], in2[6], c6);
  full_adder FA8(sum1[7], c8, in1[7], in2[7], c7);
  full_adder FA9(sum1[8], c9, in1[8], in2[8], c8);
  full_adder FA10(sum1[9], c10, in1[9], in2[9], c9);
  full_adder FA11(sum1[10], c11, in1[10], in2[10], c10);
  full_adder FA12(sum1[11], c12, in1[11], in2[11], c11);
  full_adder FA13(sum1[12], c13, in1[12], in2[12], c12);
  full_adder FA14(sum1[13], c14, in1[13], in2[13], c13);
  full_adder FA15(sum1[14], c15, in1[14], in2[14], c14);
  full_adder FA16(sum1[15], cout, in1[15], in2[15], c15);
  assign sum = sum1;
endmodule

module full_adder(output wire sum,
                  output wire cout,
                  input wire in1,
                  input wire in2,
                  input wire cin);
  wire temp1;
  wire temp2;
  wire temp3;
  xor(sum, in1, in2, cin);
  and(temp1,in1,in2);
  and(temp2,in1,cin);
  and(temp3,in2,cin);
  or(cout,temp1,temp2,temp3);
endmodule"
186.2,743.67,0.1,48,0,"//Design a 16-bit adder.
//There are two 16 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 16 bit value, [15:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_16(output [15:0] sum,
                      output cout,
                      input [15:0] in1, in2,
                      input cin);
  wire c1, c2, c3, c4, c5, c6, c7, c8, c9, c10, c11, c12, c13, c14, c15;
  wire [15:0] sum1, sum2, sum3, sum4, sum5, sum6, sum7, sum8, sum9, sum10, sum11, sum12, sum13, sum14, sum15;
  full_adder FA1(sum1[0], c1, in1[0], in2[0], cin);
  full_adder FA2(sum1[1], c2, in1[1], in2[1], c1);
  full_adder FA3(sum1[2], c3, in1[2], in2[2], c2);
  full_adder FA4(sum1[3], c4, in1[3], in2[3], c3);
  full_adder FA5(sum1[4], c5, in1[4], in2[4], c4);
  full_adder FA6(sum1[5], c6, in1[5], in2[5], c5);
  full_adder FA7(sum1[6], c7, in1[6], in2[6], c6);
  full_adder FA8(sum1[7], c8, in1[7], in2[7], c7);
  full_adder FA9(sum1[8], c9, in1[8], in2[8], c8);
  full_adder FA10(sum1[9], c10, in1[9], in2[9], c9);
  full_adder FA11(sum1[10], c11, in1[10], in2[10], c10);
  full_adder FA12(sum1[11], c12, in1[11], in2[11], c11);
  full_adder FA13(sum1[12], c13, in1[12], in2[12], c12);
  full_adder FA14(sum1[13], c14, in1[13], in2[13], c13);
  full_adder FA15(sum1[14], c15, in1[14], in2[14], c14);
  full_adder FA16(sum1[15], cout, in1[15], in2[15], c15);
  assign sum = sum1;
endmodule

module full_adder(output wire sum,
                  output wire cout,
                  input wire in1,
                  input wire in2,
                  input wire cin);
  wire temp1;
  wire temp2;
  wire temp3;
  xor(sum, in1, in2, cin);
  and(temp1,in1,in2);
  and(temp2,in1,cin);
  and(temp3,in2,cin);
  or(cout,temp1,temp2,temp3);
endmodule"
